"Subject","rt","stimulus","CodingForStimulus","responseType","Rating","Age","Gender","AmericanEnglishNative","OtherLanguages","AgeOfOtherL2Onset","DescribeOtherL2Experience"
"English1a-20250122-123",2202,"dlahm",1,"ResponseActual",5,21,"Male","Yes","None","N/A","N/A"
"English1a-20250122-123",2355,"nangdup",2,"ResponseActual",4,21,"Male","Yes","None","N/A","N/A"
"English1a-20250122-123",3155,"drikteng",3,"ResponseActual",1,21,"Male","Yes","None","N/A","N/A"
"English1a-20250122-123",2410,"gitpes",4,"ResponseActual",7,21,"Male","Yes","None","N/A","N/A"
"English1a-20250122-123",2204,"trindes",5,"ResponseActual",6,21,"Male","Yes","None","N/A","N/A"
"English1a-20250122-123",2044,"tlipgat",6,"ResponseActual",6,21,"Male","Yes","None","N/A","N/A"
"English1a-20250122-123",3301,"pundes",7,"ResponseActual",2,21,"Male","Yes","None","N/A","N/A"
"English1a-20250122-123",2019,"trahm",8,"ResponseActual",6,21,"Male","Yes","None","N/A","N/A"
"English1a-20250122-123",1598,"pwuk",9,"ResponseActual",7,21,"Male","Yes","None","N/A","N/A"
"English1a-20250122-123",5172,"dlisbep",10,"ResponseActual",2,21,"Male","Yes","None","N/A","N/A"
"English1a-20250122-123",1612,"stauk",11,"ResponseActual",7,21,"Male","Yes","None","N/A","N/A"
"English1a-20250122-123",2756,"gup",12,"ResponseActual",7,21,"Male","Yes","None","N/A","N/A"
"English1a-20250122-123",1348,"mgit",13,"ResponseActual",7,21,"Male","Yes","None","N/A","N/A"
"English1a-20250122-123",2732,"nboup",14,"ResponseActual",4,21,"Male","Yes","None","N/A","N/A"
"English1a-20250122-123",1868,"tlemkun",15,"ResponseActual",2,21,"Male","Yes","None","N/A","N/A"
"English1a-20250122-123",3104,"mkait",16,"ResponseActual",6,21,"Male","Yes","None","N/A","N/A"
"English1a-20250122-123",1396,"giit",17,"ResponseActual",6,21,"Male","Yes","None","N/A","N/A"
"English1a-20250122-123",1628,"gistum",18,"ResponseActual",6,21,"Male","Yes","None","N/A","N/A"
"English1a-20250122-123",1436,"bem",19,"ResponseActual",2,21,"Male","Yes","None","N/A","N/A"
"English1a-20250122-123",1445,"bepgik",20,"ResponseActual",1,21,"Male","Yes","None","N/A","N/A"
"English1a-20250122-123",2093,"drantung",21,"ResponseActual",2,21,"Male","Yes","None","N/A","N/A"
"English1a-20250122-123",1501,"kmaut",22,"ResponseActual",7,21,"Male","Yes","None","N/A","N/A"
"English1a-20250122-123",1884,"paim",23,"ResponseActual",6,21,"Male","Yes","None","N/A","N/A"
"English1a-20250122-123",2716,"ntek",24,"ResponseActual",7,21,"Male","Yes","None","N/A","N/A"
"English1a-20250122-123",2718,"stahm",25,"ResponseActual",7,21,"Male","Yes","None","N/A","N/A"
"English1a-20250122-123",1955,"drakpum",26,"ResponseActual",2,21,"Male","Yes","None","N/A","N/A"
"English1a-20250122-123",2125,"dloun",27,"ResponseActual",6,21,"Male","Yes","None","N/A","N/A"
"English1a-20250122-123",1620,"twen",28,"ResponseActual",7,21,"Male","Yes","None","N/A","N/A"
"English1a-20250122-123",1837,"drain",29,"ResponseActual",7,21,"Male","Yes","None","N/A","N/A"
"English1a-20250122-123",2605,"pmiik",30,"ResponseActual",1,21,"Male","Yes","None","N/A","N/A"
"English1a-20250122-123",1412,"tlik",31,"ResponseActual",6,21,"Male","Yes","None","N/A","N/A"
"English1a-20250122-123",2205,"dlemkus",32,"ResponseActual",1,21,"Male","Yes","None","N/A","N/A"
"English1a-20250122-123",2205,"gipsus",33,"ResponseActual",1,21,"Male","Yes","None","N/A","N/A"
"English1a-20250122-123",3997,"tloum",34,"ResponseActual",6,21,"Male","Yes","None","N/A","N/A"
"English1a-20250122-123",4213,"kutpim",35,"ResponseActual",3,21,"Male","Yes","None","N/A","N/A"
"English1a-20250122-123",1692,"skain",36,"ResponseActual",6,21,"Male","Yes","None","N/A","N/A"
"English1a-20250122-123",2420,"pmeit",37,"ResponseActual",6,21,"Male","Yes","None","N/A","N/A"
"English1a-20250122-123",3702,"tempuk",38,"ResponseActual",7,21,"Male","Yes","None","N/A","N/A"
"English1a-20250122-123",1756,"gatkun",39,"ResponseActual",1,21,"Male","Yes","None","N/A","N/A"
"English1a-20250122-123",3270,"stuun",40,"ResponseActual",5,21,"Male","Yes","None","N/A","N/A"
"English1a-20250122-123",5277,"tlasdung",41,"ResponseActual",2,21,"Male","Yes","None","N/A","N/A"
"English1a-20250122-123",1909,"tlumgak",42,"ResponseActual",2,21,"Male","Yes","None","N/A","N/A"
"English1a-20250122-123",1732,"mepgut",43,"ResponseActual",6,21,"Male","Yes","None","N/A","N/A"
"English1a-20250122-123",4053,"sengdun",44,"ResponseActual",6,21,"Male","Yes","None","N/A","N/A"
"English1a-20250122-123",5837,"punseng",45,"ResponseActual",2,21,"Male","Yes","None","N/A","N/A"
"English1a-20250122-123",4020,"twas",46,"ResponseActual",7,21,"Male","Yes","None","N/A","N/A"
"English1a-20250122-123",1789,"pwam",47,"ResponseActual",2,21,"Male","Yes","None","N/A","N/A"
"English1a-20250122-123",2029,"tlem",48,"ResponseActual",1,21,"Male","Yes","None","N/A","N/A"
"English1a-20250122-123",1884,"nutbim",49,"ResponseActual",2,21,"Male","Yes","None","N/A","N/A"
"English1a-20250122-123",3140,"suntem",50,"ResponseActual",2,21,"Male","Yes","None","N/A","N/A"
"English1a-20250122-123",2853,"pemdut",51,"ResponseActual",7,21,"Male","Yes","None","N/A","N/A"
"English1a-20250122-123",1860,"tisbeng",52,"ResponseActual",2,21,"Male","Yes","None","N/A","N/A"
"English1a-20250122-123",1637,"tep",53,"ResponseActual",7,21,"Male","Yes","None","N/A","N/A"
"English1a-20250122-124",3115,"mkait",1,"ResponseActual",6,21,"male","yes","none","12"," 4 years (french),in school learning, not relavent today"
"English1a-20250122-124",2876,"suntem",2,"ResponseActual",2,21,"male","yes","none","12"," 4 years (french),in school learning, not relavent today"
"English1a-20250122-124",3867,"tisbeng",3,"ResponseActual",5,21,"male","yes","none","12"," 4 years (french),in school learning, not relavent today"
"English1a-20250122-124",2604,"pwuk",4,"ResponseActual",3,21,"male","yes","none","12"," 4 years (french),in school learning, not relavent today"
"English1a-20250122-124",2692,"dlisbep",5,"ResponseActual",3,21,"male","yes","none","12"," 4 years (french),in school learning, not relavent today"
"English1a-20250122-124",2233,"ndeip",6,"ResponseActual",7,21,"male","yes","none","12"," 4 years (french),in school learning, not relavent today"
"English1a-20250122-124",8147,"drakpum",7,"ResponseActual",5,21,"male","yes","none","12"," 4 years (french),in school learning, not relavent today"
"English1a-20250122-124",2771,"nboup",8,"ResponseActual",5,21,"male","yes","none","12"," 4 years (french),in school learning, not relavent today"
"English1a-20250122-124",4732,"stuun",9,"ResponseActual",7,21,"male","yes","none","12"," 4 years (french),in school learning, not relavent today"
"English1a-20250122-124",1539,"gatkun",10,"ResponseActual",4,21,"male","yes","none","12"," 4 years (french),in school learning, not relavent today"
"English1a-20250122-124",1700,"drumbeng",11,"ResponseActual",1,21,"male","yes","none","12"," 4 years (french),in school learning, not relavent today"
"English1a-20250122-124",2411,"mgit",12,"ResponseActual",5,21,"male","yes","none","12"," 4 years (french),in school learning, not relavent today"
"English1a-20250122-124",4644,"bepgik",13,"ResponseActual",3,21,"male","yes","none","12"," 4 years (french),in school learning, not relavent today"
"English1a-20250122-124",2684,"tlemkun",14,"ResponseActual",4,21,"male","yes","none","12"," 4 years (french),in school learning, not relavent today"
"English1a-20250122-124",2387,"pemdut",15,"ResponseActual",5,21,"male","yes","none","12"," 4 years (french),in school learning, not relavent today"
"English1a-20250122-124",2164,"kmeip",16,"ResponseActual",2,21,"male","yes","none","12"," 4 years (french),in school learning, not relavent today"
"English1a-20250122-124",2133,"nutbim",17,"ResponseActual",1,21,"male","yes","none","12"," 4 years (french),in school learning, not relavent today"
