"Subject","rt","stimulus","TranscriptionEnglish","Rating","CodingForStimulus","responseType","Age","Gender","AmericanEnglishNative","OtherLanguages","AgeOfOtherL2Onset","DescribeOtherL2Experience"
"English2-20241112-67",25909,"pmaut","Mount","7",1,"ResponseActual",19,"Man","Yes","-","-","-"
"English2-20241112-67",18343,"tlunpem","Tilunepen","2",2,"ResponseActual",19,"Man","Yes","-","-","-"
"English2-20241112-67",15593,"mpat","Mpat","1",3,"ResponseActual",19,"Man","Yes","-","-","-"
"English2-20241112-67",21255,"drensum","Gensume","7",4,"ResponseActual",19,"Man","Yes","-","-","-"
"English2-20241112-67",19305,"tlakgung","Clatgume","5",5,"ResponseActual",19,"Man","Yes","-","-","-"
"English2-20241112-67",7875,"guut","Goot","7",6,"ResponseActual",19,"Man","Yes","-","-","-"
"English2-20241112-67",21338,"bimkun","Bimpcun","3",7,"ResponseActual",19,"Man","Yes","-","-","-"
"English2-20241112-67",13291,"tlaip","Klipe","6",8,"ResponseActual",19,"Man","Yes","-","-","-"
"English2-20241112-67",10420,"genpum","Ginpume","2",9,"ResponseActual",19,"Man","Yes","-","-","-"
"English2-20241112-67",14755,"driksum","Drixsume","5",10,"ResponseActual",19,"Man","Yes","-","-","-"
"English2-20241112-67",23324,"gukpim","Gukpen","3",11,"ResponseActual",19,"Man","Yes","-","-","-"
"English2-20241112-67",16388,"sandup","Sandip","6",12,"ResponseActual",19,"Man","Yes","-","-","-"
"English2-20241112-67",16340,"bim","Bim","7",13,"ResponseActual",19,"Man","Yes","-","-","-"
"English2-20241112-67",9596,"skup","Skup","2",14,"ResponseActual",19,"Man","Yes","-","-","-"
"English2-20241112-67",10068,"daip","Dipe","3",15,"ResponseActual",19,"Man","Yes","-","-","-"
"English2-20241112-67",11579,"gintep","Gintep","2",16,"ResponseActual",19,"Man","Yes","-","-","-"
"English2-20241112-67",19251,"staik","Staike","7",17,"ResponseActual",19,"Man","Yes","-","-","-"
"English2-20241112-67",15783,"pesgut","Pescut","2",18,"ResponseActual",19,"Man","Yes","-","-","-"
"English2-20241112-67",13203,"treng","Trang","5",19,"ResponseActual",19,"Man","Yes","-","-","-"
"English2-20241112-67",6107,"spen","Spen","7",20,"ResponseActual",19,"Man","Yes","-","-","-"
"English2-20241112-67",5636,"dret","Dret","7",21,"ResponseActual",19,"Man","Yes","-","-","-"
"English2-20241112-67",8675,"tlangduk","Plangdut","1",22,"ResponseActual",19,"Man","Yes","-","-","-"
"English2-20241112-67",10749,"mdak","Ndack","1",23,"ResponseActual",19,"Man","Yes","-","-","-"
"English2-20241112-67",15092,"gatdum","Getdun","4",24,"ResponseActual",19,"Man","Yes","-","-","-"
"English2-20241112-67",14083,"tlamsus","Clamsus","3",25,"ResponseActual",19,"Man","Yes","-","-","-"
"English2-20241112-67",10971,"dlain","Bline","7",26,"ResponseActual",19,"Man","Yes","-","-","-"
"English2-20241112-67",13420,"tembip","Temdip","5",27,"ResponseActual",19,"Man","Yes","-","-","-"
"English2-20241112-67",37147,"druksan","Druxsanne","5",28,"ResponseActual",19,"Man","Yes","-","-","-"
"English2-20241112-67",22483,"gwut","Guit","3",29,"ResponseActual",19,"Man","Yes","-","-","-"
"English2-20241112-67",20700,"draspung","Draspoon","4",30,"ResponseActual",19,"Man","Yes","-","-","-"
"English2-20241112-67",9179,"nungtem","Nuntim","3",31,"ResponseActual",19,"Man","Yes","-","-","-"
"English2-20241112-67",11508,"stup","Stoop","7",32,"ResponseActual",19,"Man","Yes","-","-","-"
"English2-20241112-67",6332,"gmut","Gmut","2",33,"ResponseActual",19,"Man","Yes","-","-","-"
"English2-20241112-67",9848,"daum","Dowm","1",34,"ResponseActual",19,"Man","Yes","-","-","-"
"English2-20241112-67",21386,"dlang","Glame","6",35,"ResponseActual",19,"Man","Yes","-","-","-"
"English2-20241112-67",11491,"bnup","Noop","7",36,"ResponseActual",19,"Man","Yes","-","-","-"
"English2-20241112-67",16151,"kmuup","Kmupe","2",37,"ResponseActual",19,"Man","Yes","-","-","-"
"English2-20241112-67",9011,"mpahk","Mpac","1",38,"ResponseActual",19,"Man","Yes","-","-","-"
"English2-20241112-67",11225,"tleik","Tlake","1",39,"ResponseActual",19,"Man","Yes","-","-","-"
"English2-20241112-67",19467,"beptus","Beptuss","5",40,"ResponseActual",19,"Man","Yes","-","-","-"
"English2-20241112-67",8786,"ndaik","Ndike","1",41,"ResponseActual",19,"Man","Yes","-","-","-"
"English2-20241112-67",9008,"dmat","Gmat","1",42,"ResponseActual",19,"Man","Yes","-","-","-"
"English2-20241112-67",9079,"dlupgik","Lupkick","4",43,"ResponseActual",19,"Man","Yes","-","-","-"
"English2-20241112-67",18922,"gwas","Gwass","1",44,"ResponseActual",19,"Man","Yes","-","-","-"
"English2-20241112-67",17923,"dwis","Dwiss","5",45,"ResponseActual",19,"Man","Yes","-","-","-"
"English2-20241112-67",12280,"dliim","Bleam","7",46,"ResponseActual",19,"Man","Yes","-","-","-"
"English2-20241112-67",14840,"nasgek","Naskek","5",47,"ResponseActual",19,"Man","Yes","-","-","-"
"English2-20241112-67",7571,"trindus","Trindus","5",48,"ResponseActual",19,"Man","Yes","-","-","-"
"English2-20241112-67",9490,"keptus","Keptus","5",49,"ResponseActual",19,"Man","Yes","-","-","-"
"English2-20241112-67",11835,"drembip","Drembip","5",50,"ResponseActual",19,"Man","Yes","-","-","-"
"English2-20241112-67",11369,"gekpup","Gekpup","3",51,"ResponseActual",19,"Man","Yes","-","-","-"
"English2-20241112-67",8176,"ndek","Ndeck","1",52,"ResponseActual",19,"Man","Yes","-","-","-"
"English2-20241112-67",8434,"santem","Santin","7",53,"ResponseActual",19,"Man","Yes","-","-","-"
"English2-20241112-67",14858,"biptet","Biptet","4",54,"ResponseActual",19,"Man","Yes","-","-","-"
"English2-20241112-67",18146,"dlesbup","Blessbup","4",55,"ResponseActual",19,"Man","Yes","-","-","-"
"English2-20241112-67",7443,"bwus","Bwuss","2",56,"ResponseActual",19,"Man","Yes","-","-","-"
"English2-20241112-67",15738,"gakdum","Getume","7",57,"ResponseActual",19,"Man","Yes","-","-","-"
"English2-20241112-67",5764,"douk","Doke","7",58,"ResponseActual",19,"Man","Yes","-","-","-"
"English2-20241112-67",56371,"dletgin","Blagen","4",59,"ResponseActual",19,"Man","Yes","-","-","-"
"English2-20241112-67",13291,"dunbem","Dunbem","3",60,"ResponseActual",19,"Man","Yes","-","-","-"
"English2-20241113-68",18120,"gakdum","gaktum","3",1,"ResponseActual",22,"woman","yes","spanish"," portuguese"," chinese"
"English2-20241113-68",7071,"biptet","biptit","3",2,"ResponseActual",22,"woman","yes","spanish"," portuguese"," chinese"
"English2-20241113-68",11571,"ndek","deck","7",3,"ResponseActual",22,"woman","yes","spanish"," portuguese"," chinese"
"English2-20241113-68",6562,"tlunpem","tulunpen","2",4,"ResponseActual",22,"woman","yes","spanish"," portuguese"," chinese"
"English2-20241113-68",12018,"draspung","draspoon","4",5,"ResponseActual",22,"woman","yes","spanish"," portuguese"," chinese"
