"Subject","rt","stimulus","TranscriptionKorean","Rating","CodingForStimulus","responseType","Romanisation","Age","Gender","AgeOfL2Onset","LivedinEnglishSpeakingCountry","OtherForeignLanguages","AgeOfOtherL2Onset","DescribeOtherL2Experience"
"K_L1_001",40639,"swakhing","ㅅ,ㅡ,ㅌ,ㅏ,ㅋ,ㅣ,","6",1,"ResponseActual","s,eu,th,a,kh,i,",23,"남",5,"없습니다","독일어","17 / 1년","없습니다."
"K_L1_001",11471,"knop","ㄱ,ㅡ,ㄴ,ㅗ,ㅂ","7",2,"ResponseActual","k,eu,n,o,p",23,"남",5,"없습니다","독일어","17 / 1년","없습니다."
"K_L1_001",14932,"ntosin","ㅇ,ㅣ,ㄴ,ㄴ,ㅜ,ㅅ,ㅣ,ㄴ","4",3,"ResponseActual","#,i,n,n,u,s,i,n",23,"남",5,"없습니다","독일어","17 / 1년","없습니다."
"K_L1_001",6787,"pmisung","ㅁ,ㅣ,ㅅ,ㅜ,ㅇ","6",4,"ResponseActual","m,i,s,u,ng",23,"남",5,"없습니다","독일어","17 / 1년","없습니다."
"K_L1_001",9013,"chwakap","ㅊ,ㅗ,ㅏ,ㄱ,ㅗ,ㅏ,ㅂ","5",5,"ResponseActual","ch,o,a,k,o,a,p",23,"남",5,"없습니다","독일어","17 / 1년","없습니다."
"K_L1_001",6384,"swicit","ㅅ,ㅜ,ㅣ,ㅈ,ㅣ,ㅅ","6",6,"ResponseActual","s,u,i,c,i,s",23,"남",5,"없습니다","독일어","17 / 1년","없습니다."
"K_L1_001",7337,"siphuk","ㅅ,ㅜ,ㅣ,ㅍ,ㅜ,ㄱ","6",7,"ResponseActual","s,u,i,ph,u,k",23,"남",5,"없습니다","독일어","17 / 1년","없습니다."
"K_L1_001",5091,"phuthik","ㅍ,ㅜ,ㅌ,ㅣ,ㄱ","6",8,"ResponseActual","ph,u,th,i,k",23,"남",5,"없습니다","독일어","17 / 1년","없습니다."
"K_L1_001",9228,"nchat","ㅇ,ㅡ,ㄴ,ㅊ,ㅐ,ㅅ","2",9,"ResponseActual","#,eu,n,ch,ae,s",23,"남",5,"없습니다","독일어","17 / 1년","없습니다."
"K_L1_001",6482,"nchup","ㅇ,ㅡ,ㄴ,ㅊ,ㅜ,ㅂ","3",10,"ResponseActual","#,eu,n,ch,u,p",23,"남",5,"없습니다","독일어","17 / 1년","없습니다."
"K_L1_001",5056,"phmut","ㅍ,ㅡ,ㅁ,ㅜ,ㅅ","4",11,"ResponseActual","ph,eu,m,u,s",23,"남",5,"없습니다","독일어","17 / 1년","없습니다."
"K_L1_001",5375,"cut","ㅈ,ㅠ,ㅅ","5",12,"ResponseActual","c,yu,s",23,"남",5,"없습니다","독일어","17 / 1년","없습니다."
"K_L1_001",7665,"pmuk","ㅁ,ㅜ,ㄱ","4",13,"ResponseActual","m,u,k",23,"남",5,"없습니다","독일어","17 / 1년","없습니다."
"K_L1_001",11587,"nthiton","ㅇ,ㅡ,ㄴ,ㅌ,ㅣ,ㄷ,ㅜ,ㄴ","2",14,"ResponseActual","#,eu,n,th,i,t,u,n",23,"남",5,"없습니다","독일어","17 / 1년","없습니다."
"K_L1_001",7668,"sutik","ㅅ,ㅜ,ㄷ,ㅣ,ㄱ","5",15,"ResponseActual","s,u,t,i,k",23,"남",5,"없습니다","독일어","17 / 1년","없습니다."
"K_L1_001",8632,"pwacung","ㅂ,ㅗ,ㅏ,ㅈ,ㅜ,ㅇ","5",16,"ResponseActual","p,o,a,c,u,ng",23,"남",5,"없습니다","독일어","17 / 1년","없습니다."
"K_L1_001",8110,"cwang","ㄷ,ㅠ,ㄹ,ㅏ,ㅇ","2",17,"ResponseActual","t,yu,l,a,ng",23,"남",5,"없습니다","독일어","17 / 1년","없습니다."
"K_L1_001",7996,"khmoting","ㅋ,ㅡ,ㅁ,ㅗ,ㄷ,ㅣ,ㅇ","5",18,"ResponseActual","kh,eu,m,o,t,i,ng",23,"남",5,"없습니다","독일어","17 / 1년","없습니다."
"K_L1_001",4282,"thum","ㅍ,ㅡ,ㅁ","5",19,"ResponseActual","ph,eu,m",23,"남",5,"없습니다","독일어","17 / 1년","없습니다."
"K_L1_001",5829,"cmot","ㅈ,ㅡ,ㅁ,ㅜ,ㅅ","3",20,"ResponseActual","c,eu,m,u,s",23,"남",5,"없습니다","독일어","17 / 1년","없습니다."
