"Subject","rt","stimulus","TranscriptionKorean","Rating","CodingForStimulus","responseType","Romanisation","Age","Gender","AgeOfL2Onset","LivedinEnglishSpeakingCountry","OtherForeignLanguages","AgeOfOtherL2Onset","DescribeOtherL2Experience"
"k3b_L1_001",9477,"pmisung","ㅁ,ㅣ,ㅅ,ㅜ,ㅇ","""(가능)""",1,"ResponseActual","m,i,s,u,ng",23,"남",4,"없음","중국어","17살, 2년","없음"
"k3b_L1_001",16556,"pwacung","ㅂ,ㅘ,ㅈ,ㅜ,ㅇ","""(가능)""",2,"ResponseActual","p,wa,c,u,ng",23,"남",4,"없음","중국어","17살, 2년","없음"
"k3b_L1_001",18437,"cut","ㅈ,ㅜ,ㄷ","""(가능)""",3,"ResponseActual","c,u,t",23,"남",4,"없음","중국어","17살, 2년","없음"
"k3b_L1_001",9256,"ncuk","ㅡ,ㅁ,ㅈ,ㅜ,ㄱ","""(불가능)""",4,"ResponseActual","eu,m,c,u,k",23,"남",4,"없음","중국어","17살, 2년","없음"
"k3b_L1_001",10384,"siphuk","ㅅ,ㅣ,ㅍ,ㅜ","""(가능)""",5,"ResponseActual","s,i,ph,u",23,"남",4,"없음","중국어","17살, 2년","없음"
"k3b_L1_001",16539,"ntosin","ㅡ,ㅁ,ㄷ,ㅗ,ㅅ,ㅣ,ㄴ","""(불가능)""",6,"ResponseActual","eu,m,t,o,s,i,n",23,"남",4,"없음","중국어","17살, 2년","없음"
"k3b_L1_001",11516,"kophak","ㄱ,ㅗ,ㅍ,ㅏ,ㄱ","""(가능)""",7,"ResponseActual","k,o,ph,a,k",23,"남",4,"없음","중국어","17살, 2년","없음"
"k3b_L1_001",10683,"knop","ㅋ,ㅡ,ㄴ,ㅗ,ㅂ","""(가능)""",8,"ResponseActual","kh,eu,n,o,p",23,"남",4,"없음","중국어","17살, 2년","없음"
"k3b_L1_001",14365,"phmacot","ㅍ,ㅡ,ㅁ,ㅏ,ㅈ,ㅗ,ㅂ","""(불가능)""",9,"ResponseActual","ph,eu,m,a,c,o,p",23,"남",4,"없음","중국어","17살, 2년","없음"
"k3b_L1_001",6253,"sutik","ㅅ,ㅜ,ㄷ,ㅣ,ㄱ","""(가능)""",10,"ResponseActual","s,u,t,i,k",23,"남",4,"없음","중국어","17살, 2년","없음"
"k3b_L1_001",17103,"swapong","ㅅ,ㅜ,ㅇ,ㅏ,ㅂ,ㅗ,ㅇ","""(가능)""",11,"ResponseActual","s,u,#,a,p,o,ng",23,"남",4,"없음","중국어","17살, 2년","없음"
"k3b_L1_001",8891,"cmot","ㅊ,ㅡ,ㅁ,ㅗ,ㅅ","""(가능)""",12,"ResponseActual","ch,eu,m,o,s",23,"남",4,"없음","중국어","17살, 2년","없음"
"k3b_L1_001",7635,"nucok","ㄴ,ㅜ,ㅈ,ㅗ,ㄱ","""(가능)""",13,"ResponseActual","n,u,c,o,k",23,"남",4,"없음","중국어","17살, 2년","없음"
"k3b_L1_001",10596,"nthiton","ㅡ,ㅁ,ㅌ,ㅣ,ㄷ,ㅗ,ㄴ","""(불가능)""",14,"ResponseActual","eu,m,th,i,t,o,n",23,"남",4,"없음","중국어","17살, 2년","없음"
"k3b_L1_001",11270,"phninot","ㅍ,ㅡ,ㄴ,ㅣ,ㄴ,ㅗ,ㅅ","""(가능)""",15,"ResponseActual","ph,eu,n,i,n,o,s",23,"남",4,"없음","중국어","17살, 2년","없음"
"k3b_L1_001",8388,"nthochap","ㅡ,ㅁ,ㅌ,ㅗ,ㅊ,ㅏ,ㄱ","""(불가능)""",16,"ResponseActual","eu,m,th,o,ch,a,k",23,"남",4,"없음","중국어","17살, 2년","없음"
"k3b_L1_001",9692,"pmathin","ㅃ,ㅡ,ㅁ,ㅏ,ㅌ,ㅣ,ㄴ","""(가능)""",17,"ResponseActual","pp,eu,m,a,th,i,n",23,"남",4,"없음","중국어","17살, 2년","없음"
"k3b_L1_001",14612,"phwing","ㅍ,ㅇ,ㅐ,ㅇ,ㅣ,ㅇ","""(불가능)""",18,"ResponseActual","ph,ng,ae,#,i,ng",23,"남",4,"없음","중국어","17살, 2년","없음"
"k3b_L1_001",6987,"phuthik","ㅍ,ㅜ,ㅌ,ㅣ,ㄱ","""(가능)""",19,"ResponseActual","ph,u,th,i,k",23,"남",4,"없음","중국어","17살, 2년","없음"
"k3b_L1_001",10566,"mphithup","ㅡ,ㅁ,ㅍ,ㅣ,ㅌ,ㅜ,ㅅ","""(불가능)""",20,"ResponseActual","eu,m,ph,i,th,u,s",23,"남",4,"없음","중국어","17살, 2년","없음"
